,T2M_MEAN,T2M_MAX,T2M_MIN,PREC,WS2M,RH2M,SW_DWN,TEMP_RANGE,HEAT_INDEX,LABEL
2021-03-09,21.44,27.52,16.23,0.97,1.15,80.2,6.265,11.29,17.19488,0
2021-03-10,21.54,27.52,17.73,0.2,1.6,78.57,6.5102,9.79,16.923977999999998,0
2021-03-11,21.52,27.12,16.64,6.83,1.74,81.96,5.0371,10.48,17.637791999999997,1
2021-03-12,22.99,29.3,18.42,1.07,1.51,79.99,5.9518,10.879999999999999,18.389701,0
2021-03-13,23.21,29.62,18.52,0.05,1.68,79.36,6.1692,11.100000000000001,18.419456,0
2021-03-14,23.53,30.24,18.37,1.68,1.6,78.75,5.9827,11.869999999999997,18.529875,0
2021-03-15,23.5,30.18,18.57,0.16,1.41,77.04,6.0744,11.61,18.104400000000002,0
2021-03-16,23.86,31.17,18.55,0.16,1.52,75.94,6.2954,12.620000000000001,18.119284,1
2021-03-17,24.33,30.53,18.54,5.42,1.58,73.59,5.7902,11.990000000000002,17.904446999999998,1
2021-03-18,22.36,26.45,19.1,8.11,1.58,83.35,3.3814,7.349999999999998,18.637059999999998,1
2021-03-19,22.39,27.79,18.88,9.81,1.52,85.76,4.643,8.91,19.201664,1
2021-03-20,22.92,28.6,19.63,1.2,1.51,84.14,5.6167,8.970000000000002,19.284888000000002,0
2021-03-21,23.6,30.1,18.5,0.07,1.43,75.27,6.4548,11.600000000000001,17.76372,0
2021-03-22,23.51,30.84,17.47,0.01,1.66,74.4,6.1913,13.370000000000001,17.491440000000004,1
2021-03-23,23.32,31.49,16.88,0.06,1.43,73.56,6.5434,14.61,17.154192000000002,1
2021-03-24,23.71,31.58,18.49,0.14,1.92,75.86,6.1874,13.09,17.986406,1
2021-03-25,23.85,31.18,19.34,0.02,2.07,73.94,6.1704,11.84,17.63469,1
2021-03-26,24.11,32.23,18.69,0.18,1.56,72.54,6.0965,13.539999999999996,17.489394,1
2021-03-27,24.5,32.67,18.6,6.57,1.58,73.98,6.0254,14.07,18.1251,1
2021-03-28,24.39,30.9,19.54,3.72,1.18,74.75,5.3664,11.36,18.231525,1
2021-03-29,24.77,31.63,19.35,3.93,1.34,71.62,5.8087,12.279999999999998,17.740274,1
2021-03-30,22.92,29.21,18.42,6.04,1.88,79.32,5.3208,10.79,18.180144,1
2021-03-31,19.92,25.94,15.0,1.96,2.25,80.14,4.3702,10.940000000000001,15.963888,0
2021-04-01,18.75,25.98,13.11,0.37,2.18,75.26,6.0782,12.870000000000001,14.11125,0
2021-04-02,19.55,26.34,15.13,0.52,2.44,77.9,5.1487,11.209999999999999,15.229450000000002,0
2021-04-03,20.31,28.41,14.88,0.07,2.04,76.05,5.0707,13.53,15.445754999999998,0
2021-04-04,20.28,26.61,16.77,0.93,3.33,80.11,5.2766,9.84,16.246308000000003,1
2021-04-05,20.1,26.3,16.58,0.6,2.91,80.95,5.2613,9.720000000000002,16.270950000000003,0
2021-04-06,20.3,26.08,16.94,3.28,1.87,83.34,2.8927,9.139999999999997,16.918020000000002,0
2021-04-07,20.12,26.58,16.77,0.55,3.38,81.97,4.8509,9.809999999999999,16.492364000000002,1
2021-04-08,20.59,28.16,16.38,0.16,3.3,76.46,6.2455,11.780000000000001,15.743113999999998,0
2021-04-09,20.98,28.87,15.13,0.05,1.54,73.32,5.9038,13.74,15.382536,0
2021-04-10,21.03,29.64,14.23,0.02,1.45,68.73,6.2129,15.41,14.453919,0
2021-04-11,21.2,29.99,13.89,0.01,1.85,62.94,6.2263,16.099999999999998,13.343279999999998,0
2021-04-12,21.9,30.68,14.91,0.4,2.59,65.13,5.2762,15.77,14.263469999999998,1
2021-04-13,19.32,24.72,15.08,0.87,3.26,81.23,2.6858,9.639999999999999,15.693636000000001,0
2021-04-14,18.2,24.74,12.9,0.07,2.89,76.07,4.7057,11.839999999999998,13.844739999999998,0
2021-04-15,19.97,27.02,15.43,0.0,2.39,77.09,4.9094,11.59,15.394873,0
2021-04-16,20.77,27.9,15.19,0.42,1.86,74.63,4.5718,12.709999999999999,15.500651,0
2021-04-17,20.42,26.85,15.6,12.06,1.49,79.43,3.3103,11.250000000000002,16.219606000000002,1
2021-04-18,19.51,24.94,16.33,3.65,1.88,85.69,3.4913,8.610000000000003,16.718119,0
2021-04-19,18.33,24.1,14.62,2.53,2.73,84.74,3.5357,9.480000000000002,15.532841999999997,0
2021-04-20,17.89,23.18,15.08,2.17,3.18,83.96,3.9401,8.1,15.020444,0
2021-04-21,18.02,23.01,14.78,4.23,2.91,85.95,3.7637,8.230000000000002,15.488190000000001,0
2021-04-22,17.58,22.03,14.58,2.03,2.97,84.73,3.4963,7.450000000000001,14.895534,0
2021-04-23,18.07,25.3,13.39,0.07,1.71,79.65,5.2037,11.91,14.392755000000003,0
2021-04-24,18.97,26.74,13.97,0.03,0.97,76.51,5.0801,12.769999999999998,14.513947,0
2021-04-25,20.47,28.33,13.83,0.0,1.18,70.21,5.1247,14.499999999999998,14.371986999999999,0
2021-04-26,20.28,27.11,15.79,1.64,1.62,77.07,3.6744,11.32,15.629795999999999,0
2021-04-27,19.3,25.39,15.93,0.91,2.22,81.92,3.1649,9.46,15.81056,0
2021-04-28,18.43,25.71,14.66,0.23,2.42,78.68,4.6378,11.05,14.500724,0
2021-04-29,17.04,22.91,13.48,0.52,3.28,79.95,4.4117,9.43,13.623479999999999,0
2021-04-30,17.4,24.05,13.96,0.34,3.3,79.54,4.6303,10.09,13.839960000000001,0
2021-05-01,17.71,24.53,14.16,0.01,2.53,78.46,4.9673,10.370000000000001,13.895266,0
2021-05-02,18.04,26.54,11.46,0.0,1.51,73.54,4.9661,15.079999999999998,13.266616,0
2021-05-03,18.6,27.15,12.49,0.05,1.19,74.36,4.9358,14.659999999999998,13.830960000000001,0
2021-05-04,19.27,28.1,11.46,0.02,1.54,67.37,5.1979,16.64,12.982199000000001,0
2021-05-05,19.75,28.52,12.79,0.03,0.95,62.95,5.0366,15.73,12.432625000000002,0
2021-05-06,20.1,28.75,12.94,0.08,1.8,66.6,4.9416,15.81,13.3866,0
2021-05-07,16.45,19.51,14.32,1.1,2.84,88.84,1.9946,5.190000000000001,14.614180000000001,0
2021-05-08,16.69,22.46,13.85,0.46,3.2,83.3,3.6029,8.610000000000001,13.90277,0
2021-05-09,17.92,25.09,13.94,0.15,2.64,79.32,4.3776,11.15,14.214144,0
2021-05-10,18.42,26.31,13.55,0.01,1.73,75.23,4.3061,12.759999999999998,13.857366000000003,0
2021-05-11,18.46,26.52,11.85,0.01,1.84,74.1,4.1623,14.67,13.67886,0
2021-05-12,17.24,23.82,13.9,19.56,2.02,83.78,2.0266,9.92,14.443671999999998,1
2021-05-13,15.64,20.78,12.99,1.33,3.22,84.79,2.9246,7.790000000000001,13.261156000000001,0
2021-05-14,16.46,22.29,13.13,0.08,2.53,82.38,3.876,9.159999999999998,13.559748,0
2021-05-15,17.44,23.67,13.24,0.11,1.77,81.7,2.6374,10.430000000000001,14.248480000000002,0
2021-05-16,18.0,24.75,13.82,0.04,1.49,80.62,3.4387,10.93,14.511600000000001,0
2021-05-17,17.86,24.79,12.88,0.01,1.38,74.54,4.2053,11.909999999999998,13.312844,0
2021-05-18,16.9,23.63,12.81,0.07,1.78,80.07,2.9875,10.819999999999999,13.531829999999998,0
2021-05-19,16.87,25.32,11.54,0.01,1.48,70.99,4.8264,13.780000000000001,11.976013,0
2021-05-20,17.11,26.31,9.75,0.07,1.69,60.09,4.7326,16.56,10.281398999999999,0
2021-05-21,18.24,27.45,10.98,0.14,1.66,61.24,4.4014,16.47,11.170176,0
2021-05-22,17.87,23.29,14.12,2.18,2.83,75.42,0.935,9.17,13.477554,0
2021-05-23,18.94,23.95,14.62,5.04,3.91,84.55,2.599,9.33,16.01377,1
2021-05-24,14.33,21.2,8.45,0.01,2.13,57.2,4.7314,12.75,8.196760000000001,0
2021-05-25,15.17,24.39,9.81,0.02,0.84,54.06,4.8278,14.58,8.200902,0
2021-05-26,16.39,25.92,9.48,0.08,1.31,60.38,4.4957,16.44,9.896282000000001,0
2021-05-27,18.89,27.06,11.68,0.0,1.38,62.36,4.0829,15.379999999999999,11.779804,0
2021-05-28,21.0,29.47,14.16,0.03,2.36,64.74,3.9461,15.309999999999999,13.5954,0
2021-05-29,21.53,28.38,17.01,0.94,3.57,69.24,3.0936,11.369999999999997,14.907371999999999,1
2021-05-30,18.47,23.64,15.41,5.11,1.46,88.49,1.573,8.23,16.344102999999997,0
2021-05-31,16.64,20.7,14.02,2.96,1.47,91.34,2.4451,6.68,15.198976,0
2021-06-01,17.28,24.81,12.68,0.07,1.01,77.77,3.709,12.129999999999999,13.438656,0
2021-06-02,18.44,26.53,10.35,0.01,1.63,67.0,4.4446,16.18,12.354800000000001,0
2021-06-03,19.42,27.67,14.07,0.03,1.6,71.0,4.0421,13.600000000000001,13.7882,0
2021-06-04,19.47,28.13,14.23,0.02,1.63,75.3,4.2077,13.899999999999999,14.66091,0
2021-06-05,19.23,27.23,12.59,0.02,1.78,69.36,4.4148,14.64,13.337928,0
2021-06-06,18.64,26.27,13.3,0.1,1.61,69.71,3.18,12.969999999999999,12.993943999999999,0
2021-06-07,18.01,24.05,14.38,2.57,1.1,84.7,1.565,9.67,15.254470000000001,0
2021-06-08,18.01,24.04,14.6,1.77,1.54,86.31,2.0098,9.44,15.544431000000001,0
2021-06-09,18.18,23.51,15.52,0.22,1.69,87.42,3.0943,7.990000000000002,15.892956,0
2021-06-10,19.48,26.6,15.3,2.08,1.83,82.78,1.6601,11.3,16.125544,0
2021-06-11,17.62,22.56,13.85,1.0,1.74,86.6,1.7131,8.709999999999999,15.258920000000002,0
2021-06-12,15.73,22.53,12.07,0.12,1.66,79.53,3.7279,10.46,12.510069,0
2021-06-13,14.13,21.17,10.23,0.03,2.74,76.95,3.6595,10.940000000000001,10.873035000000002,0
2021-06-14,15.21,24.08,9.04,0.01,1.5,77.35,4.1131,15.04,11.764935,0
2021-06-15,15.97,24.38,10.71,0.01,1.6,77.22,3.8916,13.669999999999998,12.332034,0
2021-06-16,15.05,21.03,11.48,0.42,2.33,80.68,2.8968,9.55,12.14234,0
2021-06-17,14.43,19.92,11.33,0.52,2.1,84.07,2.8826,8.590000000000002,12.131300999999999,0
2021-06-18,14.79,19.43,11.42,0.29,2.16,84.19,3.4104,8.01,12.451700999999998,0
2021-06-19,17.1,23.74,13.21,2.15,2.41,77.74,2.0057,10.529999999999998,13.29354,0
2021-06-20,16.64,23.65,11.94,0.7,2.72,78.4,3.1495,11.709999999999999,13.045760000000001,0
2021-06-21,15.45,22.25,11.48,0.69,1.36,81.47,3.1738,10.77,12.587114999999999,0
2021-06-22,14.71,20.49,12.0,9.73,1.56,89.85,1.609,8.489999999999998,13.216935,1
2021-06-23,15.19,20.94,11.83,0.21,2.79,83.94,2.873,9.110000000000001,12.750485999999999,0
2021-06-24,16.87,23.91,10.78,0.04,2.22,80.01,4.0001,13.13,13.497687,0
2021-06-25,19.19,27.69,13.21,0.01,1.82,75.82,3.3142,14.48,14.549858,0
2021-06-26,19.92,27.85,14.6,0.04,1.67,72.8,3.9091,13.250000000000002,14.50176,0
2021-06-27,18.88,26.55,13.9,0.0,2.88,63.89,4.1832,12.65,12.062432,0
2021-06-28,16.78,24.96,10.75,0.16,1.84,71.48,3.4445,14.21,11.994344,0
2021-06-29,12.44,16.62,7.87,0.33,1.68,78.66,1.1316,8.75,9.785304,0
2021-06-30,8.97,16.18,4.05,0.02,1.65,64.07,4.1028,12.129999999999999,5.747079,0
2021-07-01,12.31,19.44,7.44,0.09,3.16,80.27,4.0822,12.0,9.881237,0
2021-07-02,15.51,24.24,8.36,0.01,1.73,69.68,4.4942,15.879999999999999,10.807368,0
2021-07-03,15.71,24.63,9.78,0.03,1.64,67.81,3.875,14.85,10.652951000000002,0
2021-07-04,14.84,21.41,11.18,0.09,2.61,80.55,3.0684,10.23,11.953619999999999,0
2021-07-05,15.54,22.44,11.11,0.02,2.06,79.58,3.151,11.330000000000002,12.366731999999999,0
2021-07-06,15.11,20.11,12.4,0.02,2.52,83.27,3.1186,7.709999999999999,12.582097,0
2021-07-07,15.48,22.43,11.63,0.01,2.47,77.69,3.6965,10.799999999999999,12.026411999999999,0
2021-07-08,15.49,23.56,10.7,0.01,1.39,74.97,4.1201,12.86,11.612853000000001,0
2021-07-09,15.9,24.21,10.7,0.01,2.03,76.42,4.1311,13.510000000000002,12.15078,0
2021-07-10,16.34,25.36,8.87,0.01,1.32,67.83,4.3709,16.490000000000002,11.083422,0
2021-07-11,16.77,25.87,9.67,0.02,1.4,64.61,4.3226,16.200000000000003,10.835097,0
2021-07-12,16.71,26.31,9.76,0.05,1.38,70.58,4.3865,16.549999999999997,11.793918,0
2021-07-13,17.22,26.28,10.08,0.01,1.64,57.07,4.553,16.200000000000003,9.827454,0
2021-07-14,17.04,24.84,10.42,0.02,1.85,57.48,4.2636,14.42,9.794592,0
2021-07-15,18.3,27.58,11.18,0.02,2.52,54.33,4.2223,16.4,9.94239,0
2021-07-16,17.39,23.43,12.13,2.09,1.39,69.62,2.6309,11.299999999999999,12.106918,0
2021-07-17,17.06,22.05,13.86,2.19,1.53,84.83,2.5224,8.190000000000001,14.471997999999997,0
2021-07-18,15.94,24.22,8.81,0.05,1.91,69.9,4.1698,15.409999999999998,11.14206,0
2021-07-19,10.77,20.31,3.98,0.0,1.73,54.41,4.9387,16.33,5.859956999999999,0
2021-07-20,10.46,19.18,3.13,0.01,2.44,62.07,4.5557,16.05,6.492522000000001,0
2021-07-21,12.28,21.72,7.63,0.04,1.21,71.71,4.217,14.09,8.805988,0
2021-07-22,13.15,23.58,6.22,0.19,2.63,76.92,4.7988,17.36,10.114980000000001,0
2021-07-23,16.14,27.75,9.88,0.06,1.73,70.57,4.9318,17.869999999999997,11.389997999999999,0
2021-07-24,16.66,27.69,8.6,0.0,1.49,53.83,4.9356,19.090000000000003,8.968078,0
2021-07-25,17.65,27.14,9.88,0.06,2.23,48.82,5.0045,17.259999999999998,8.61673,0
2021-07-26,18.04,28.13,10.4,0.05,2.54,44.72,4.9577,17.729999999999997,8.067487999999999,0
2021-07-27,19.4,29.09,12.33,0.64,3.45,50.55,4.4088,16.759999999999998,9.806699999999998,1
2021-07-28,12.01,14.29,7.09,19.8,2.6,88.89,0.8424,7.199999999999999,10.675689,1
2021-07-29,7.24,15.03,2.05,0.0,1.51,64.37,5.1487,12.98,4.660388,0
2021-07-30,7.46,15.01,1.52,0.67,3.15,79.54,4.4587,13.49,5.933684,0
2021-07-31,11.69,19.06,7.2,0.18,3.64,75.54,4.445,11.86,8.830626,1
2021-08-01,13.65,21.01,9.32,0.31,2.25,77.22,3.7037,11.690000000000001,10.54053,0
2021-08-02,14.75,23.18,9.89,0.24,1.73,76.97,4.4832,13.29,11.353074999999999,0
2021-08-03,13.56,19.45,10.39,0.19,2.91,80.61,2.8512,9.059999999999999,10.930716,0
2021-08-04,14.16,21.04,10.47,0.04,3.34,79.09,4.3812,10.569999999999999,11.199144,1
2021-08-05,15.41,23.41,9.76,0.01,2.8,76.26,3.9626,13.65,11.751666,0
2021-08-06,16.32,23.64,12.32,0.01,2.36,78.78,3.9576,11.32,12.856896,0
2021-08-07,17.11,25.46,10.63,0.0,1.58,74.11,3.8933,14.83,12.680221,0
2021-08-08,17.31,26.17,10.89,0.0,1.47,62.83,4.5324,15.280000000000001,10.875872999999999,0
2021-08-09,18.55,27.27,10.77,0.0,1.56,55.62,4.8286,16.5,10.31751,0
2021-08-10,19.38,28.24,11.18,0.0,1.95,49.21,5.2272,17.06,9.536897999999999,0
2021-08-11,15.95,22.54,11.01,0.74,2.86,75.73,3.0506,11.53,12.078935000000001,0
2021-08-12,14.26,19.28,12.1,1.43,3.49,86.28,2.2205,7.1800000000000015,12.303528,1
2021-08-13,14.78,19.55,12.57,1.38,3.44,88.42,1.909,6.98,13.068475999999999,1
2021-08-14,16.62,24.91,12.57,0.24,2.62,80.55,2.6758,12.34,13.387410000000001,0
2021-08-15,18.86,28.64,12.16,0.06,1.91,71.36,4.3531,16.48,13.458496,0
2021-08-16,19.06,28.08,13.03,1.91,1.81,77.1,2.5968,15.049999999999999,14.695259999999998,0
2021-08-17,20.75,30.92,13.21,0.12,1.46,66.17,5.1434,17.71,13.730275,1
2021-08-18,22.51,32.62,15.21,0.0,1.27,51.39,5.4557,17.409999999999997,11.567889000000001,1
2021-08-19,22.4,32.16,14.27,0.04,1.28,44.36,5.5692,17.889999999999997,9.936639999999999,1
2021-08-20,22.46,30.74,14.98,0.02,2.07,42.77,5.6674,15.759999999999998,9.606142,1
2021-08-21,21.27,30.66,14.98,0.02,1.88,50.61,5.2661,15.68,10.764747,1
2021-08-22,21.16,30.76,12.81,0.01,2.34,44.33,5.706,17.950000000000003,9.380227999999999,1
2021-08-23,22.61,31.33,14.37,0.01,2.14,40.68,5.4521,16.96,9.197747999999999,1
2021-08-24,23.5,33.18,14.55,0.0,1.24,39.77,4.987,18.63,9.345950000000002,1
2021-08-25,23.63,33.31,15.84,0.0,2.37,38.36,4.8626,17.470000000000002,9.064468,1
2021-08-26,23.34,32.33,16.86,0.04,3.45,46.49,4.9272,15.469999999999999,10.850766,1
2021-08-27,17.1,23.36,14.56,5.0,4.25,81.04,2.0062,8.799999999999999,13.857840000000001,1
2021-08-28,15.82,18.05,14.89,16.55,3.3,91.26,1.044,3.16,14.437332000000001,1
2021-08-29,16.18,19.95,14.07,5.41,3.62,89.4,2.6018,5.879999999999999,14.46492,1
2021-08-30,17.39,24.35,13.56,0.99,4.17,81.19,4.0044,10.790000000000001,14.118941,1
2021-08-31,17.69,25.08,13.52,0.15,4.19,78.1,5.0249,11.559999999999999,13.81589,1
2021-09-01,18.54,27.56,13.0,0.01,3.31,70.63,5.9885,14.559999999999999,13.094801999999998,0
2021-09-02,19.91,29.12,12.89,0.0,1.56,68.75,5.8094,16.23,13.688125,0
2021-09-03,21.98,30.0,13.95,0.0,1.7,57.46,5.6093,16.05,12.629708,0
2021-09-04,21.98,31.1,14.43,0.04,1.7,59.4,5.2291,16.67,13.05612,1
2021-09-05,21.44,31.27,14.78,0.03,1.95,65.88,4.925,16.490000000000002,14.124672,1
2021-09-06,20.29,29.3,15.46,0.12,3.21,75.99,4.6246,13.84,15.418370999999997,0
2021-09-07,20.91,32.01,14.82,0.08,2.83,70.97,4.8547,17.189999999999998,14.839827,1
2021-09-08,23.9,34.73,14.71,0.26,2.4,60.2,4.9795,20.019999999999996,14.387799999999999,1
2021-09-09,22.72,29.46,17.82,8.2,1.57,71.28,2.9424,11.64,16.194816,1
2021-09-10,20.5,26.29,15.95,2.92,1.67,73.3,2.8718,10.34,15.0265,0
2021-09-11,19.86,25.94,16.34,0.14,0.99,72.53,4.2744,9.600000000000001,14.404458,0
2021-09-12,22.38,32.66,14.97,0.02,1.8,70.25,5.6815,17.689999999999998,15.72195,1
2021-09-13,24.88,35.42,16.13,0.0,2.4,56.97,5.2051,19.290000000000003,14.174135999999999,1
2021-09-14,25.79,35.39,18.22,0.02,3.47,47.01,4.171,17.17,12.123878999999999,1
2021-09-15,22.42,28.99,16.7,2.06,2.37,70.72,1.9315,12.29,15.855424,0
2021-09-16,18.01,24.27,14.63,3.09,4.58,83.29,2.3501,9.639999999999999,15.000529000000002,1
2021-09-17,20.17,29.19,14.56,0.75,2.81,76.15,3.6737,14.63,15.359455000000002,0
2021-09-18,22.73,33.2,15.23,0.02,2.3,69.9,5.3191,17.970000000000002,15.888270000000002,1
2021-09-19,23.09,32.62,16.66,0.03,2.62,72.8,5.6141,15.959999999999997,16.80952,1
2021-09-20,25.96,36.04,17.66,0.0,2.03,57.81,6.132,18.38,15.007476000000002,1
2021-09-21,23.91,36.16,13.91,1.4,3.84,58.15,4.7743,22.249999999999996,13.903665,1
2021-09-22,15.12,21.26,11.85,0.71,5.44,70.3,3.7603,9.410000000000002,10.629359999999998,1
2021-09-23,15.75,24.58,9.93,0.12,3.96,66.4,5.7655,14.649999999999999,10.458,1
2021-09-24,18.92,29.91,11.16,0.01,2.83,65.09,6.2719,18.75,12.315028000000002,0
2021-09-25,19.82,30.28,14.18,3.19,2.74,69.95,3.7198,16.1,13.864090000000001,1
2021-09-26,21.41,31.82,14.45,1.07,2.21,71.17,5.4672,17.37,15.237497,1
2021-09-27,21.88,30.93,15.72,0.05,2.65,66.07,6.72,15.209999999999999,14.456115999999998,1
2021-09-28,23.63,33.72,14.91,0.0,1.97,57.51,6.8647,18.81,13.589612999999998,1
2021-09-29,23.63,33.03,16.42,0.09,2.88,55.7,5.4854,16.61,13.16191,1
2021-09-30,19.94,29.11,14.12,0.61,3.46,70.39,5.4734,14.99,14.035766,1
2021-10-01,24.0,34.87,15.7,0.38,2.86,62.77,2.9738,19.169999999999998,15.064800000000002,1
2021-10-02,22.94,29.27,19.1,3.22,2.45,71.9,3.1337,10.169999999999998,16.49386,0
2021-10-03,24.77,32.66,18.69,6.15,2.33,64.79,3.5237,13.969999999999995,16.048483,1
2021-10-04,21.66,28.46,16.56,10.7,3.03,76.3,2.9386,11.900000000000002,16.52658,1
2021-10-05,19.1,26.4,14.8,1.14,3.51,77.92,2.5186,11.599999999999998,14.88272,1
2021-10-06,21.84,33.21,14.62,0.47,2.68,70.91,5.8879,18.590000000000003,15.486743999999998,1
2021-10-07,19.29,26.89,14.48,1.18,3.05,79.62,1.843,12.41,15.358698,0
2021-10-08,18.28,26.43,13.19,0.47,3.56,73.33,5.2946,13.24,13.404724,1
2021-10-09,18.23,26.76,13.81,2.63,4.17,77.59,2.3182,12.950000000000001,14.144657,1
2021-10-10,16.78,21.32,14.39,7.94,4.08,84.27,1.8991,6.93,14.140506,1
2021-10-11,18.19,24.24,14.88,3.78,3.98,80.51,2.1012,9.359999999999998,14.644769000000002,1
2021-10-12,19.94,27.06,14.93,1.02,2.44,74.72,5.0621,12.129999999999999,14.899168000000001,0
2021-10-13,21.25,30.35,14.83,0.14,2.15,70.57,5.3614,15.520000000000001,14.996124999999997,1
2021-10-14,23.6,31.79,16.12,1.81,3.1,67.11,4.7112,15.669999999999998,15.837960000000002,1
2021-10-15,24.11,30.44,19.4,18.04,2.99,77.03,5.52,11.040000000000003,18.571932999999998,1
2021-10-16,21.79,28.67,16.7,2.68,3.35,81.0,3.9197,11.970000000000002,17.6499,1
2021-10-17,18.91,24.95,15.17,3.88,3.68,80.57,2.3155,9.78,15.235787,1
2021-10-18,16.51,18.91,14.44,11.91,4.03,87.24,1.764,4.470000000000001,14.403324000000001,1
2021-10-19,16.2,21.13,12.67,2.35,4.38,84.61,1.7515,8.459999999999999,13.706819999999999,1
2021-10-20,14.53,20.38,10.76,2.53,4.21,80.99,3.2882,9.62,11.767846999999998,1
2021-10-21,16.74,24.38,11.44,0.3,2.75,75.9,5.9518,12.94,12.705659999999998,0
2021-10-22,18.98,28.32,10.97,0.04,2.03,66.93,7.669,17.35,12.703314000000002,0
2021-10-23,22.57,32.27,12.16,2.98,3.25,58.1,7.7249,20.110000000000003,13.113169999999998,1
2021-10-24,19.72,26.64,14.16,19.85,4.14,82.68,2.7631,12.48,16.304496,1
2021-10-25,18.5,27.48,12.92,0.53,3.34,75.64,3.8849,14.56,13.9934,1
2021-10-26,19.8,27.29,14.91,0.56,2.56,78.33,4.4016,12.379999999999999,15.50934,0
2021-10-27,18.82,22.14,16.54,9.7,3.28,89.51,3.0936,5.600000000000001,16.845782,1
2021-10-28,19.4,22.53,17.68,6.03,3.03,91.88,2.9414,4.850000000000001,17.82472,1
2021-10-29,20.01,26.64,16.46,0.58,3.17,82.66,4.7014,10.18,16.540266000000003,0
2021-10-30,20.2,26.78,15.83,0.74,3.02,78.38,5.2673,10.950000000000001,15.832759999999999,0
2021-10-31,18.43,21.46,16.18,9.99,2.08,89.04,1.8972,5.280000000000001,16.410072,1
2021-11-01,19.84,25.34,16.87,1.2,2.99,84.15,4.152,8.469999999999999,16.69536,0
2021-11-02,20.14,26.93,15.74,1.16,3.43,79.88,5.0014,11.19,16.087832,1
2021-11-03,20.38,27.88,15.48,0.42,3.25,75.36,6.1476,12.399999999999999,15.358368,0
2021-11-04,21.56,30.29,14.81,0.03,2.48,70.59,7.2038,15.479999999999999,15.219204000000001,1
2021-11-05,22.04,30.18,16.22,0.05,2.69,69.02,7.3745,13.96,15.212007999999997,0
2021-11-06,21.44,31.15,14.6,0.01,3.27,67.18,8.1053,16.549999999999997,14.403392000000002,1
2021-11-07,20.37,28.74,15.45,0.02,3.52,72.16,7.9651,13.29,14.698992,1
2021-11-08,20.97,30.59,14.99,0.06,3.31,70.62,6.5441,15.6,14.809014,1
2021-11-09,20.66,29.86,15.76,0.5,3.43,74.54,3.492,14.1,15.399964,1
2021-11-10,20.44,29.2,15.04,0.17,3.89,72.73,5.2853,14.16,14.866012000000001,1
2021-11-11,18.55,25.36,15.47,3.17,4.17,79.89,1.7911,9.889999999999999,14.819595000000001,1
2021-11-12,17.42,24.12,12.77,0.82,4.59,76.5,3.6991,11.350000000000001,13.326300000000002,1
2021-11-13,17.03,25.31,11.56,0.1,3.83,69.6,7.5823,13.749999999999998,11.85288,1
2021-11-14,19.61,30.05,12.87,0.01,2.93,67.88,7.6798,17.18,13.311267999999998,0
2021-11-15,21.24,31.69,13.81,0.01,2.64,66.23,7.1563,17.880000000000003,14.067251999999998,1
2021-11-16,23.25,32.3,15.76,0.01,2.01,63.74,7.5624,16.54,14.81955,1
2021-11-17,24.88,34.11,17.03,0.01,2.08,57.59,7.3598,17.08,14.328392000000001,1
2021-11-18,21.85,24.55,19.96,36.49,2.32,82.72,2.2982,4.59,18.07432,1
2021-11-19,20.87,26.49,16.63,5.94,3.31,86.46,2.6398,9.86,18.044202,1
2021-11-20,18.78,24.68,14.02,1.5,4.2,81.38,4.1801,10.66,15.283164000000001,1
2021-11-21,18.0,25.99,12.91,0.11,3.12,74.87,6.1102,13.079999999999998,13.476600000000001,0
2021-11-22,19.92,30.24,12.32,0.33,1.97,65.93,8.2121,17.919999999999998,13.133256000000003,0
2021-11-23,23.49,33.57,13.64,0.16,2.35,53.15,8.2123,19.93,12.484934999999998,1
2021-11-24,22.28,30.37,17.04,0.12,3.38,72.22,5.5814,13.330000000000002,16.090616,1
2021-11-25,24.24,33.69,16.53,0.38,2.05,66.13,7.1724,17.159999999999997,16.029912,1
2021-11-26,23.48,30.15,20.47,6.47,5.08,75.37,3.0367,9.68,17.696876,1
2021-11-27,23.89,30.86,18.87,0.96,2.93,71.3,7.3536,11.989999999999998,17.03357,1
2021-11-28,24.28,31.52,17.75,0.02,1.89,66.5,6.6835,13.77,16.1462,1
2021-11-29,26.09,33.76,18.54,0.51,2.76,61.04,6.8405,15.219999999999999,15.925335999999998,1
2021-11-30,23.8,28.43,20.15,9.93,3.6,77.63,4.8036,8.280000000000001,18.47594,1
2021-12-01,23.6,31.07,18.41,0.29,2.83,72.25,6.1637,12.66,17.051000000000002,1
2021-12-02,22.04,30.44,17.01,2.65,3.19,73.91,5.4408,13.43,16.289763999999998,1
2021-12-03,20.47,27.78,16.09,1.26,3.79,75.66,5.0263,11.690000000000001,15.487601999999997,1
2021-12-04,21.77,31.31,15.98,0.22,3.11,69.91,6.8398,15.329999999999998,15.219406999999999,1
2021-12-05,22.85,30.98,17.03,1.0,2.63,69.62,6.5338,13.95,15.908170000000002,1
2021-12-06,21.43,28.94,17.12,6.11,3.09,76.0,5.0054,11.82,16.2868,1
2021-12-07,18.18,22.59,14.51,8.87,4.74,79.73,3.5566,8.08,14.494914,1
2021-12-08,17.65,24.0,14.01,3.51,4.0,79.71,4.9258,9.99,14.068814999999997,1
2021-12-09,18.73,26.65,13.18,0.26,2.78,70.11,6.4992,13.469999999999999,13.131603,0
